country_code,language,official,percentage,speakers
FJI,Fijian,T,50.8,41503600.0
FJI,Hindi,F,43.7,35702900.0
FLK,English,T,0.0,0.0
FRA,Arabic,F,2.5,148064250.0
FRA,French,T,93.6,5543525520.0
FRA,Italian,F,0.4,23690280.0
FRA,Portuguese,F,1.2,71070840.0
FRA,Spanish,F,0.4,23690280.0
FRA,Turkish,F,0.4,23690280.0
FRO,Danish,T,0.0,0.0
FRO,Faroese,T,100.0,4300000.0
FSM,Kosrean,F,7.3,868700.0
FSM,Mortlock,F,7.6,904400.0
FSM,Pohnpei,F,23.8,2832200.0
FSM,Trukese,F,41.6,4950400.0
FSM,Wolea,F,3.7,440300.0
FSM,Yap,F,5.8,690200.0
GAB,Fang,F,35.8,43890800.0
GAB,Mbete,F,13.8,16918800.0
GAB,Mpongwe,F,14.6,17899600.0
GAB,Punu-sira-nzebi,F,17.1,20964600.0
GBR,English,T,97.3,5801356820.0
GBR,Gaeli,F,0.1,5962340.0
GBR,Kymri,F,0.9,53661060.0
GEO,Abhyasi,F,1.7,8445600.0
GEO,Armenian,F,6.8,33782400.0
GEO,Azerbaijani,F,5.5,27324000.0
GEO,Georgiana,T,71.7,356205600.0
GEO,Osseetti,F,2.4,11923200.0
GEO,Russian,F,8.8,43718400.0
GHA,Akan,F,52.4,1059108800.0
GHA,Ewe,F,11.9,240522800.0
GHA,Ga-adangme,F,7.8,157653600.0
GHA,Gurma,F,3.3,66699600.0
GHA,Joruba,F,1.3,26275600.0
GHA,Mossi,F,15.8,319349600.0
GIB,Arabic,F,7.4,185000.0
GIB,English,T,88.9,2222500.0
GIN,Ful,F,38.6,286798000.0
GIN,Kissi,F,6.0,44580000.0
GIN,Kpelle,F,4.6,34178000.0
GIN,Loma,F,2.3,17089000.0
GIN,Malinke,F,23.2,172376000.0
GIN,Susu,F,11.0,81730000.0
GIN,Yalunka,F,2.9,21547000.0
GLP,Creole French,F,95.0,43320000.0
GLP,French,T,0.0,0.0
GMB,Diola,F,9.2,12006000.0
GMB,Ful,F,16.2,21141000.0
GMB,Malinke,F,34.1,44500500.0
GMB,Soninke,F,7.6,9918000.0
GMB,Wolof,F,12.6,16443000.0
GNB,Balante,F,14.6,17709800.0
GNB,Crioulo,F,36.4,44153200.0
GNB,Ful,F,16.6,20135800.0
GNB,Malinke,F,6.9,8369700.0
GNB,Mandyako,F,4.9,5943700.0
GNB,Portuguese,T,8.1,9825300.0
GNQ,Bubi,F,8.7,3941100.0
GNQ,Fang,F,84.8,38414400.0
GRC,Greek,T,98.5,1038751450.0
GRC,Turkish,F,0.9,9491130.0
GRD,Creole English,F,100.0,9400000.0
GRL,Danish,T,12.5,700000.0
GRL,Greenlandic,T,87.5,4900000.0
GTM,Cakchiquel,F,8.9,101326500.0
GTM,KekchI,F,4.9,55786500.00000001
GTM,Mam,F,2.7,30739500.000000004
GTM,Quiche,F,10.1,114988500.0
GTM,Spanish,T,64.7,736609500.0
GUF,Creole French,F,94.3,
GUF,Indian Languages,F,1.9,
GUM,Chamorro,T,29.6,
GUM,English,T,37.5,
GUM,Japanese,F,2.0,
GUM,Korean,F,3.3,
GUM,Philippene Languages,F,19.7,
GUY,Arawakan,F,1.4,
GUY,Caribbean,F,2.2,
GUY,Creole English,F,96.4,
HKG,Canton Chinese,F,88.7,601563400.0
HKG,Chiu chau,F,1.4,9494800.0
HKG,English,T,2.2,14920400.000000002
HKG,Fukien,F,1.9,12885800.0
HKG,Hakka,F,1.6,10851200.0
HND,Creole English,F,0.2,1297000.0
HND,Garifuna,F,1.3,8430500.0
HND,Miskito,F,0.2,1297000.0
HND,Spanish,T,97.2,630342000.0
HRV,Serbo-Croatian,T,95.9,428960700.0
HRV,Slovene,F,0.0,0.0
HTI,French,T,0.0,0.0
HTI,Haiti Creole,F,100.0,822200000.0
HUN,German,F,0.4,
HUN,Hungarian,T,98.5,
HUN,Romani,F,0.5,
HUN,Romanian,F,0.1,
HUN,Serbo-Croatian,F,0.2,
HUN,Slovak,F,0.1,
IDN,Bali,F,1.7,360581900.0
IDN,Banja,F,1.8,381792600.0
IDN,Batakki,F,2.2,466635400.00000006
IDN,Bugi,F,2.2,466635400.00000006
IDN,Javanese,F,39.4,8357015800.0
IDN,Madura,F,4.3,912060100.0
IDN,Malay,T,12.1,2566494700.0
IDN,Minangkabau,F,2.4,509056800.0
IDN,Sunda,F,15.8,3351290600.0
IND,Asami,F,1.5,1520493000.0
IND,Bengali,F,8.2,8312028399.999999
IND,Gujarati,F,4.8,4865577600.0
IND,Hindi,T,39.9,40445113800.0
IND,Kannada,F,3.9,3953281800.0
IND,Malajalam,F,3.6,3649183200.0
IND,Marathi,F,7.4,7501098800.0
IND,Orija,F,3.3,3345084600.0
IND,Punjabi,F,2.8,2838253600.0
IND,Tamil,F,6.3,6386070600.0
IND,Telugu,F,7.8,7906563600.0
IND,Urdu,F,5.1,5169676200.0
IRL,English,T,98.4,371469840.0
IRL,Irish,T,1.6,6040160.0
IRN,Arabic,F,2.2,148944400.0
IRN,Azerbaijani,F,16.8,1137393600.0
IRN,Bakhtyari,F,1.7,115093400.0
IRN,Balochi,F,2.3,155714600.0
IRN,Gilaki,F,5.3,358820600.0
IRN,Kurdish,F,9.1,616088200.0
IRN,Luri,F,4.3,291118600.0
IRN,Mazandarani,F,3.6,243727200.0
IRN,Persian,T,45.7,3093981400.0
IRN,Turkmenian,F,1.6,108323200.0
IRQ,Arabic,T,77.2,1784478000.0
IRQ,Assyrian,F,0.8,18492000.0
IRQ,Azerbaijani,F,1.7,39295500.0
IRQ,Kurdish,F,19.0,439185000.0
